package name,version,source,downloads,language
-,,rubygems,{'overall': 10534},ruby
-A,,rubygems,{'overall': 2749},ruby
.cat,,rubygems,{'overall': 1589038},ruby
.omghi,,rubygems,{'overall': 801556},ruby
0mq,,rubygems,{'overall': 53824},ruby
0xdm5,,rubygems,{'overall': 2920},ruby
0xffffff,,rubygems,{'overall': 19690},ruby
0xn3va-hola,,rubygems,{'overall': 1320},ruby
10to1-crack,,rubygems,{'overall': 12629},ruby
1234567890_,,rubygems,{'overall': 18590},ruby
12_hour_time,,rubygems,{'overall': 36475},ruby
16watts-fluently,,rubygems,{'overall': 8238},ruby
189seg,,rubygems,{'overall': 12891},ruby
196demo,,rubygems,{'overall': 3646},ruby
19cah,,rubygems,{'overall': 2955},ruby
1_as_identity_function,,rubygems,{'overall': 22647},ruby
1and1,,rubygems,{'overall': 5855},ruby
1hdoc,,rubygems,{'overall': 9813},ruby
1OS,,rubygems,{'overall': 1937},ruby
1pass,,rubygems,{'overall': 16281},ruby
2019-GCPL-CLI-Table,,rubygems,{'overall': 1852},ruby
2048-ruby,,rubygems,{'overall': 1773},ruby
21-day-challenge-countdown,,rubygems,{'overall': 10448},ruby
234ewd,,rubygems,{'overall': 1845},ruby
24games,,rubygems,{'overall': 50144},ruby
24point,,rubygems,{'overall': 9839},ruby
2cdn,,rubygems,{'overall': 10264},ruby
2DArray,,rubygems,{'overall': 50013},ruby
2do,,rubygems,{'overall': 4589},ruby
2fa,,rubygems,{'overall': 1987},ruby
2gis,,rubygems,{'overall': 1093723},ruby
2Performant,,rubygems,{'overall': 106633},ruby
360_services,,rubygems,{'overall': 240425},ruby
37-pieces-of-flair,,rubygems,{'overall': 5354},ruby
3d-ribbon,,rubygems,{'overall': 25555},ruby
3d_cache,,rubygems,{'overall': 7826},ruby
3dmf,,rubygems,{'overall': 375},ruby
3llo,,rubygems,{'overall': 18804},ruby
3mix-castronaut,,rubygems,{'overall': 4560},ruby
3months_staff_schedule,,rubygems,{'overall': 18438},ruby
3scale-3scale_ws_api,,rubygems,{'overall': 4571},ruby
3scale-3scale_ws_api_for_ruby,,rubygems,{'overall': 15441},ruby
3scale-api,,rubygems,{'overall': 53365},ruby
3scale_api,,rubygems,{'overall': 37512},ruby
3scale_client,,rubygems,{'overall': 263266},ruby
3scale_time_range,,rubygems,{'overall': 23076},ruby
3scale_toolbox,,rubygems,{'overall': 43656},ruby
3scale_toolbox_supercool_plugin,,rubygems,{'overall': 3819},ruby
420-time,,rubygems,{'overall': 7568},ruby
42858gemtest,,rubygems,{'overall': 3581},ruby
42_gem,,rubygems,{'overall': 455},ruby
46546535132132A,,rubygems,{'overall': 1749},ruby
47primes-amatch,,rubygems,{'overall': 4544},ruby
4info,,rubygems,{'overall': 204472},ruby
4me-sdk,,rubygems,{'overall': 20634},ruby
50-best-restaurants,,rubygems,{'overall': 5245},ruby
52inc-danger,,rubygems,{'overall': 3939},ruby
533212321-weq-eqw,,rubygems,{'overall': 1726},ruby
53cr-shoulda_generator,,rubygems,{'overall': 4662},ruby
6_mail_regex_andeshmukh,,rubygems,{'overall': 2444},ruby
6px,,rubygems,{'overall': 30879},ruby
7_half,,rubygems,{'overall': 13700},ruby
7digital,,rubygems,{'overall': 83127},ruby
80ae2fe5c929b7d0a00bdee2d710fa9e,,rubygems,{'overall': 19670},ruby
80legs,,rubygems,{'overall': 68407},ruby
88miles,,rubygems,{'overall': 30237},ruby
99_game,,rubygems,{'overall': 108759},ruby
99designs-tasks,,rubygems,{'overall': 16513},ruby
_,,rubygems,{'overall': 28930},ruby
_amon,,rubygems,{'overall': 4863},ruby
_bushido-faye,,rubygems,{'overall': 10306},ruby
_bushido-faye-websocket,,rubygems,{'overall': 7635},ruby
_p_,,rubygems,{'overall': 5894},ruby
_rubyapp,,rubygems,{'overall': 3699},ruby
